algorithm_name,size,settings,best_fitness,duration
genetic_algorithm,10,mutation_probs=0.3,9.0,0.66698
genetic_algorithm,10,mutation_probs=0.6,9.0,0.68485
genetic_algorithm,10,mutation_probs=0.9,9.0,0.7002833
genetic_algorithm,20,mutation_probs=0.3,18.7,1.19051
genetic_algorithm,20,mutation_probs=0.6,18.5,1.2302167
genetic_algorithm,20,mutation_probs=0.9,18.4,1.2741289
genetic_algorithm,30,mutation_probs=0.3,27.0,1.6848567
genetic_algorithm,30,mutation_probs=0.6,27.7,1.850505
genetic_algorithm,30,mutation_probs=0.9,27.7,1.9798911
genetic_algorithm,40,mutation_probs=0.3,36.7,2.7749733
genetic_algorithm,40,mutation_probs=0.6,36.7,2.5445783
genetic_algorithm,40,mutation_probs=0.9,36.8,2.6227989
genetic_algorithm,50,mutation_probs=0.3,46.0,2.6031067
genetic_algorithm,50,mutation_probs=0.6,46.0,2.8563233
genetic_algorithm,50,mutation_probs=0.9,46.1,3.11877
genetic_algorithm,60,mutation_probs=0.3,54.3,3.20369
genetic_algorithm,60,mutation_probs=0.6,54.5,3.559835
genetic_algorithm,60,mutation_probs=0.9,54.6,3.5880267
genetic_algorithm,70,mutation_probs=0.3,63.0,3.7713167
genetic_algorithm,70,mutation_probs=0.6,63.3,4.1704017
genetic_algorithm,70,mutation_probs=0.9,63.2,4.28197
genetic_algorithm,80,mutation_probs=0.3,70.0,4.8408633
genetic_algorithm,80,mutation_probs=0.6,71.3,5.967545
genetic_algorithm,80,mutation_probs=0.9,71.7,6.2690444
genetic_algorithm,90,mutation_probs=0.3,80.7,5.1266233
genetic_algorithm,90,mutation_probs=0.6,81.2,5.1481933
genetic_algorithm,90,mutation_probs=0.9,81.0,5.2467189
genetic_algorithm,100,mutation_probs=0.3,89.7,6.1170833
genetic_algorithm,100,mutation_probs=0.6,89.8,6.5311367
genetic_algorithm,100,mutation_probs=0.9,90.2,6.6246967
