algorithm_name,size,settings,best_fitness,duration
mimic,10,keep_pct=0.3,9.0,4.0263333
mimic,10,keep_pct=0.6,9.0,4.380505
mimic,10,keep_pct=0.9,9.0,4.4607922
mimic,20,keep_pct=0.3,18.3,19.71031
mimic,20,keep_pct=0.6,18.3,19.3707883
mimic,20,keep_pct=0.9,17.9,20.0333044
mimic,30,keep_pct=0.3,26.7,45.59945
mimic,30,keep_pct=0.6,26.3,45.660625
mimic,30,keep_pct=0.9,25.7,48.1055844
mimic,40,keep_pct=0.3,34.7,78.94117
mimic,40,keep_pct=0.6,34.7,84.1435717
mimic,40,keep_pct=0.9,33.8,85.6165889
mimic,50,keep_pct=0.3,44.3,109.52483
mimic,50,keep_pct=0.6,43.0,118.783145
mimic,50,keep_pct=0.9,41.9,131.69754
mimic,60,keep_pct=0.3,51.3,191.4959067
mimic,60,keep_pct=0.6,51.2,192.519995
mimic,60,keep_pct=0.9,49.9,202.84319
mimic,70,keep_pct=0.3,57.3,246.62359
mimic,70,keep_pct=0.6,57.3,267.4148783
mimic,70,keep_pct=0.9,56.8,287.7842622
mimic,80,keep_pct=0.3,66.7,395.80007
mimic,80,keep_pct=0.6,65.8,462.3525417
mimic,80,keep_pct=0.9,63.7,484.96177
mimic,90,keep_pct=0.3,72.7,525.0739533
mimic,90,keep_pct=0.6,74.7,564.600135
mimic,90,keep_pct=0.9,71.8,597.0639522
mimic,100,keep_pct=0.3,82.3,963.2375167
mimic,100,keep_pct=0.6,82.3,885.8876817
mimic,100,keep_pct=0.9,79.8,864.6754233
