algorithm_name,size,settings,best_fitness,duration
simulated_annealing,10,ce=0.3,9.0,0.0136733
simulated_annealing,10,ce=0.6,9.0,0.0138367
simulated_annealing,10,ce=0.9,9.0,0.0136689
simulated_annealing,20,ce=0.3,19.0,0.0843233
simulated_annealing,20,ce=0.6,19.0,0.0840933
simulated_annealing,20,ce=0.9,19.0,0.0841689
simulated_annealing,30,ce=0.3,28.7,0.1478433
simulated_annealing,30,ce=0.6,28.5,0.142915
simulated_annealing,30,ce=0.9,28.4,0.1410567
simulated_annealing,40,ce=0.3,37.7,0.1978633
simulated_annealing,40,ce=0.6,37.7,0.197925
simulated_annealing,40,ce=0.9,37.7,0.1993567
simulated_annealing,50,ce=0.3,48.0,0.2596733
simulated_annealing,50,ce=0.6,48.0,0.2603433
simulated_annealing,50,ce=0.9,48.0,0.2593578
simulated_annealing,60,ce=0.3,57.3,0.2894867
simulated_annealing,60,ce=0.6,57.3,0.305155
simulated_annealing,60,ce=0.9,57.3,0.3160178
simulated_annealing,70,ce=0.3,66.0,0.4866733
simulated_annealing,70,ce=0.6,66.0,0.48582
simulated_annealing,70,ce=0.9,66.0,0.4749444
simulated_annealing,80,ce=0.3,76.0,0.53326
simulated_annealing,80,ce=0.6,76.0,0.5362517
simulated_annealing,80,ce=0.9,75.6,0.5330133
simulated_annealing,90,ce=0.3,84.7,0.5484033
simulated_annealing,90,ce=0.6,84.7,0.5481533
simulated_annealing,90,ce=0.9,84.6,0.5541
simulated_annealing,100,ce=0.3,95.3,0.6359367
simulated_annealing,100,ce=0.6,95.3,0.639005
simulated_annealing,100,ce=0.9,95.3,0.63645
