algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,46.0,61.0,66.0
simulated_annealing,100,47.0,62.0,67.0
simulated_annealing,100,49.0,65.0,70.0
simulated_annealing,100,49.0,65.0,70.0
simulated_annealing,100,49.0,65.0,70.0
simulated_annealing,100,50.0,67.0,72.0
simulated_annealing,100,51.0,68.0,73.0
simulated_annealing,100,51.0,68.0,73.0
simulated_annealing,100,51.0,68.0,74.0
simulated_annealing,100,52.0,70.0,76.0
simulated_annealing,100,52.0,70.0,76.0
simulated_annealing,100,52.0,70.0,76.0
simulated_annealing,100,52.0,70.0,76.0
simulated_annealing,100,52.0,70.0,76.0
simulated_annealing,100,53.0,71.0,77.0
simulated_annealing,100,54.0,72.0,78.0
simulated_annealing,100,54.0,72.0,78.0
simulated_annealing,100,54.0,72.0,78.0
simulated_annealing,100,55.0,73.0,79.0
simulated_annealing,100,55.0,73.0,79.0
simulated_annealing,100,55.0,73.0,79.0
simulated_annealing,100,55.0,73.0,79.0
simulated_annealing,100,56.0,74.0,80.0
simulated_annealing,100,56.0,74.0,80.0
simulated_annealing,100,57.0,76.0,83.0
simulated_annealing,100,57.0,76.0,83.0
simulated_annealing,100,58.0,77.0,84.0
simulated_annealing,100,59.0,78.0,85.0
simulated_annealing,100,59.0,78.0,85.0
simulated_annealing,100,59.0,78.0,85.0
simulated_annealing,100,59.0,78.0,85.0
simulated_annealing,100,59.0,78.0,85.0
simulated_annealing,100,59.0,78.0,85.0
simulated_annealing,100,61.0,81.0,88.0
simulated_annealing,100,61.0,81.0,88.0
simulated_annealing,100,61.0,81.0,88.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,61.0,82.0,89.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,62.0,83.0,90.0
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,63.0,84.0,91.0
