algorithm_name,size,settings,best_fitness,duration
genetic_algorithm,10,mutation_probs=0.3,16.0,0.7681367
genetic_algorithm,10,mutation_probs=0.6,16.0,0.79058
genetic_algorithm,10,mutation_probs=0.9,16.0,0.8124567
genetic_algorithm,20,mutation_probs=0.3,34.0,0.9733533
genetic_algorithm,20,mutation_probs=0.6,34.0,0.9389667
genetic_algorithm,20,mutation_probs=0.9,34.0,0.9496611
genetic_algorithm,30,mutation_probs=0.3,51.0,1.35575
genetic_algorithm,30,mutation_probs=0.6,47.5,1.355125
genetic_algorithm,30,mutation_probs=0.9,44.0,1.2812856
genetic_algorithm,40,mutation_probs=0.3,59.3,1.46837
genetic_algorithm,40,mutation_probs=0.6,59.3,1.4807467
genetic_algorithm,40,mutation_probs=0.9,56.1,1.5183244
genetic_algorithm,50,mutation_probs=0.3,62.0,2.42137
genetic_algorithm,50,mutation_probs=0.6,56.0,2.3379017
genetic_algorithm,50,mutation_probs=0.9,54.0,2.3018189
genetic_algorithm,60,mutation_probs=0.3,60.0,3.8016867
genetic_algorithm,60,mutation_probs=0.6,67.3,3.0598083
genetic_algorithm,60,mutation_probs=0.9,64.9,3.07836
genetic_algorithm,70,mutation_probs=0.3,69.3,4.6363
genetic_algorithm,70,mutation_probs=0.6,69.7,4.0454717
genetic_algorithm,70,mutation_probs=0.9,69.8,3.6915611
genetic_algorithm,80,mutation_probs=0.3,80.0,6.1672967
genetic_algorithm,80,mutation_probs=0.6,80.0,4.7745783
genetic_algorithm,80,mutation_probs=0.9,80.0,4.42586
genetic_algorithm,90,mutation_probs=0.3,87.7,6.7135467
genetic_algorithm,90,mutation_probs=0.6,88.8,5.7009917
genetic_algorithm,90,mutation_probs=0.9,89.2,5.2913656
genetic_algorithm,100,mutation_probs=0.3,100.0,7.38067
genetic_algorithm,100,mutation_probs=0.6,100.0,5.8995867
genetic_algorithm,100,mutation_probs=0.9,100.0,5.4945167
