algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,8.0,10.0,12.0
genetic_algorithm,100,11.0,12.0,13.0
genetic_algorithm,100,12.0,12.0,13.0
genetic_algorithm,100,12.0,13.0,15.0
genetic_algorithm,100,12.0,13.0,15.0
genetic_algorithm,100,14.0,15.0,18.0
genetic_algorithm,100,14.0,15.0,18.0
genetic_algorithm,100,14.0,16.0,19.0
genetic_algorithm,100,14.0,17.0,19.0
genetic_algorithm,100,15.0,18.0,20.0
genetic_algorithm,100,16.0,18.0,21.0
genetic_algorithm,100,17.0,20.0,23.0
genetic_algorithm,100,18.0,21.0,24.0
genetic_algorithm,100,18.0,22.0,24.0
genetic_algorithm,100,18.0,22.0,24.0
genetic_algorithm,100,20.0,24.0,25.0
genetic_algorithm,100,20.0,25.0,27.0
genetic_algorithm,100,20.0,25.0,27.0
genetic_algorithm,100,20.0,25.0,27.0
genetic_algorithm,100,20.0,25.0,28.0
genetic_algorithm,100,21.0,27.0,29.0
genetic_algorithm,100,23.0,28.0,30.0
genetic_algorithm,100,24.0,28.0,31.0
genetic_algorithm,100,24.0,29.0,35.0
genetic_algorithm,100,25.0,30.0,35.0
genetic_algorithm,100,25.0,30.0,35.0
genetic_algorithm,100,25.0,30.0,35.0
genetic_algorithm,100,26.0,31.0,36.0
genetic_algorithm,100,26.0,31.0,36.0
genetic_algorithm,100,26.0,32.0,37.0
genetic_algorithm,100,27.0,34.0,38.0
genetic_algorithm,100,27.0,34.0,38.0
genetic_algorithm,100,27.0,35.0,39.0
genetic_algorithm,100,27.0,35.0,39.0
genetic_algorithm,100,29.0,35.0,39.0
genetic_algorithm,100,29.0,35.0,41.0
genetic_algorithm,100,29.0,35.0,42.0
genetic_algorithm,100,30.0,36.0,42.0
genetic_algorithm,100,31.0,37.0,42.0
genetic_algorithm,100,31.0,37.0,43.0
genetic_algorithm,100,31.0,37.0,43.0
genetic_algorithm,100,31.0,38.0,44.0
genetic_algorithm,100,31.0,38.0,44.0
genetic_algorithm,100,31.0,38.0,44.0
genetic_algorithm,100,32.0,39.0,44.0
genetic_algorithm,100,32.0,39.0,45.0
genetic_algorithm,100,32.0,40.0,45.0
genetic_algorithm,100,34.0,40.0,45.0
genetic_algorithm,100,34.0,40.0,45.0
genetic_algorithm,100,34.0,41.0,47.0
genetic_algorithm,100,34.0,41.0,47.0
genetic_algorithm,100,34.0,41.0,47.0
genetic_algorithm,100,34.0,41.0,48.0
genetic_algorithm,100,34.0,42.0,48.0
genetic_algorithm,100,34.0,42.0,48.0
genetic_algorithm,100,34.0,42.0,49.0
genetic_algorithm,100,35.0,43.0,50.0
genetic_algorithm,100,35.0,43.0,50.0
genetic_algorithm,100,35.0,43.0,50.0
genetic_algorithm,100,35.0,43.0,50.0
genetic_algorithm,100,35.0,45.0,52.0
genetic_algorithm,100,35.0,47.0,52.0
genetic_algorithm,100,35.0,47.0,52.0
genetic_algorithm,100,35.0,47.0,53.0
genetic_algorithm,100,35.0,47.0,53.0
genetic_algorithm,100,35.0,48.0,55.0
genetic_algorithm,100,35.0,48.0,55.0
genetic_algorithm,100,36.0,50.0,57.0
genetic_algorithm,100,36.0,50.0,59.0
