algorithm_name,size,settings,best_fitness,duration
mimic,10,keep_pct=0.3,16.0,5.4802
mimic,10,keep_pct=0.6,16.0,6.15988
mimic,10,keep_pct=0.9,15.7,6.24638
mimic,20,keep_pct=0.3,31.0,25.98925
mimic,20,keep_pct=0.6,22.0,25.857815
mimic,20,keep_pct=0.9,24.7,24.99602
mimic,30,keep_pct=0.3,42.0,62.61322
mimic,30,keep_pct=0.6,27.5,56.59556
mimic,30,keep_pct=0.9,22.3,60.48046
mimic,40,keep_pct=0.3,22.0,110.06675
mimic,40,keep_pct=0.6,16.5,108.566435
mimic,40,keep_pct=0.9,14.7,102.55627
mimic,50,keep_pct=0.3,14.0,141.39263
mimic,50,keep_pct=0.6,14.0,166.26005
mimic,50,keep_pct=0.9,13.0,161.1730667
mimic,60,keep_pct=0.3,16.0,246.89357
mimic,60,keep_pct=0.6,13.5,242.704435
mimic,60,keep_pct=0.9,12.7,239.6428767
mimic,70,keep_pct=0.3,15.0,230.75492
mimic,70,keep_pct=0.6,15.0,241.69735
mimic,70,keep_pct=0.9,14.0,242.9442167
mimic,80,keep_pct=0.3,10.0,299.00432
mimic,80,keep_pct=0.6,10.5,314.704105
mimic,80,keep_pct=0.9,12.0,316.5313533
mimic,90,keep_pct=0.3,19.0,408.2788
mimic,90,keep_pct=0.6,15.0,404.861715
mimic,90,keep_pct=0.9,13.7,404.88798
mimic,100,keep_pct=0.3,17.0,484.62736
mimic,100,keep_pct=0.6,13.5,573.26733
mimic,100,keep_pct=0.9,13.7,601.3546667
