algorithm_name,size,settings,best_fitness,duration
simulated_annealing,10,ce=0.3,12.0,0.00766
simulated_annealing,10,ce=0.6,12.0,0.0071583
simulated_annealing,10,ce=0.9,12.0,0.0075478
simulated_annealing,20,ce=0.3,20.0,0.0176567
simulated_annealing,20,ce=0.6,20.0,0.01766
simulated_annealing,20,ce=0.9,20.0,0.0177711
simulated_annealing,30,ce=0.3,30.0,0.0260167
simulated_annealing,30,ce=0.6,30.0,0.0276717
simulated_annealing,30,ce=0.9,30.0,0.0285589
simulated_annealing,40,ce=0.3,40.0,0.05134
simulated_annealing,40,ce=0.6,40.0,0.051
simulated_annealing,40,ce=0.9,40.0,0.0492211
simulated_annealing,50,ce=0.3,50.0,0.0813333
simulated_annealing,50,ce=0.6,50.0,0.08233
simulated_annealing,50,ce=0.9,50.0,0.0816078
simulated_annealing,60,ce=0.3,59.7,0.0962133
simulated_annealing,60,ce=0.6,59.7,0.093375
simulated_annealing,60,ce=0.9,59.7,0.09442
simulated_annealing,70,ce=0.3,50.0,0.1250167
simulated_annealing,70,ce=0.6,50.0,0.12617
simulated_annealing,70,ce=0.9,50.0,0.1237433
simulated_annealing,80,ce=0.3,48.3,0.13186
simulated_annealing,80,ce=0.6,48.3,0.1264533
simulated_annealing,80,ce=0.9,48.3,0.1242989
simulated_annealing,90,ce=0.3,48.0,0.12933
simulated_annealing,90,ce=0.6,48.0,0.1310283
simulated_annealing,90,ce=0.9,48.0,0.1457
simulated_annealing,100,ce=0.3,48.3,0.207
simulated_annealing,100,ce=0.6,48.3,0.1860883
simulated_annealing,100,ce=0.9,48.3,0.1705122
