algorithm_name,size,settings,best_fitness,duration
genetic_algorithm,10,mutation_probs=0.3,75.9,2.0469767
genetic_algorithm,10,mutation_probs=0.6,75.9,1.93574
genetic_algorithm,10,mutation_probs=0.9,75.9,2.0779889
genetic_algorithm,20,mutation_probs=0.3,334.6,6.79219
genetic_algorithm,20,mutation_probs=0.6,334.9,6.530315
genetic_algorithm,20,mutation_probs=0.9,335.0,7.3792978
genetic_algorithm,30,mutation_probs=0.3,671.9,15.3908433
genetic_algorithm,30,mutation_probs=0.6,670.9,16.735875
genetic_algorithm,30,mutation_probs=0.9,670.3,20.0708922
genetic_algorithm,40,mutation_probs=0.3,1264.3,30.3038933
genetic_algorithm,40,mutation_probs=0.6,1270.4,37.7570417
genetic_algorithm,40,mutation_probs=0.9,1269.2,33.8184822
genetic_algorithm,50,mutation_probs=0.3,2064.6,47.5443367
genetic_algorithm,50,mutation_probs=0.6,2064.5,48.00373
genetic_algorithm,50,mutation_probs=0.9,2056.3,44.2195844
genetic_algorithm,60,mutation_probs=0.3,3011.5,68.9106033
genetic_algorithm,60,mutation_probs=0.6,3012.3,93.31569
genetic_algorithm,60,mutation_probs=0.9,3006.4,81.6426922
genetic_algorithm,70,mutation_probs=0.3,3859.7,78.5075067
genetic_algorithm,70,mutation_probs=0.6,3857.8,77.0859533
genetic_algorithm,70,mutation_probs=0.9,3839.2,68.6791222
genetic_algorithm,80,mutation_probs=0.3,4632.3,77.0806567
genetic_algorithm,80,mutation_probs=0.6,4633.4,77.91626
genetic_algorithm,80,mutation_probs=0.9,4615.5,76.2300956
genetic_algorithm,90,mutation_probs=0.3,5712.9,92.5069033
genetic_algorithm,90,mutation_probs=0.6,5710.9,94.11677
genetic_algorithm,90,mutation_probs=0.9,5686.0,90.4736456
genetic_algorithm,100,mutation_probs=0.3,7719.7,93.1334933
genetic_algorithm,100,mutation_probs=0.6,7727.4,96.0603417
genetic_algorithm,100,mutation_probs=0.9,7684.2,90.20539
