algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,5851.0,7805.0,8443.0
genetic_algorithm,100,5917.0,7890.0,8534.0
genetic_algorithm,100,5967.0,7908.0,8556.0
genetic_algorithm,100,6041.0,7953.0,8618.0
genetic_algorithm,100,6052.0,7965.0,8643.0
genetic_algorithm,100,6052.0,8033.0,8737.0
genetic_algorithm,100,6085.0,8065.0,8752.0
genetic_algorithm,100,6085.0,8098.0,8792.0
genetic_algorithm,100,6115.0,8127.0,8802.0
genetic_algorithm,100,6163.0,8174.0,8818.0
genetic_algorithm,100,6186.0,8197.0,8853.0
genetic_algorithm,100,6186.0,8226.0,8871.0
genetic_algorithm,100,6247.0,8257.0,8910.0
genetic_algorithm,100,6247.0,8257.0,8931.0
genetic_algorithm,100,6278.0,8281.0,8939.0
genetic_algorithm,100,6295.0,8317.0,8982.0
genetic_algorithm,100,6302.0,8347.0,8992.0
genetic_algorithm,100,6302.0,8357.0,9035.0
genetic_algorithm,100,6302.0,8369.0,9039.0
genetic_algorithm,100,6320.0,8424.0,9099.0
genetic_algorithm,100,6326.0,8458.0,9114.0
genetic_algorithm,100,6326.0,8458.0,9146.0
genetic_algorithm,100,6326.0,8458.0,9161.0
genetic_algorithm,100,6337.0,8462.0,9242.0
genetic_algorithm,100,6337.0,8481.0,9253.0
genetic_algorithm,100,6339.0,8494.0,9258.0
genetic_algorithm,100,6377.0,8517.0,9265.0
genetic_algorithm,100,6391.0,8522.0,9277.0
genetic_algorithm,100,6421.0,8581.0,9329.0
genetic_algorithm,100,6422.0,8581.0,9335.0
genetic_algorithm,100,6427.0,8597.0,9341.0
genetic_algorithm,100,6462.0,8637.0,9354.0
genetic_algorithm,100,6506.0,8652.0,9360.0
genetic_algorithm,100,6512.0,8669.0,9366.0
genetic_algorithm,100,6512.0,8669.0,9368.0
genetic_algorithm,100,6512.0,8672.0,9399.0
genetic_algorithm,100,6512.0,8676.0,9424.0
genetic_algorithm,100,6519.0,8678.0,9493.0
genetic_algorithm,100,6522.0,8679.0,9497.0
genetic_algorithm,100,6552.0,8689.0,9514.0
genetic_algorithm,100,6555.0,8704.0,9519.0
genetic_algorithm,100,6576.0,8728.0,9545.0
genetic_algorithm,100,6592.0,8740.0,9549.0
genetic_algorithm,100,6592.0,8741.0,9549.0
genetic_algorithm,100,6592.0,8751.0,9552.0
genetic_algorithm,100,6603.0,8764.0,9557.0
genetic_algorithm,100,6603.0,8764.0,9570.0
genetic_algorithm,100,6606.0,8765.0,9570.0
genetic_algorithm,100,6629.0,8780.0,9575.0
genetic_algorithm,100,6635.0,8789.0,9622.0
genetic_algorithm,100,6635.0,8794.0,9623.0
genetic_algorithm,100,6647.0,8810.0,9633.0
genetic_algorithm,100,6656.0,8822.0,9637.0
genetic_algorithm,100,6656.0,8845.0,9644.0
genetic_algorithm,100,6662.0,8849.0,9646.0
genetic_algorithm,100,6715.0,8894.0,9661.0
genetic_algorithm,100,6715.0,8894.0,9662.0
genetic_algorithm,100,6726.0,8911.0,9668.0
genetic_algorithm,100,6726.0,8916.0,9696.0
genetic_algorithm,100,6734.0,8947.0,9708.0
genetic_algorithm,100,6739.0,8951.0,9715.0
genetic_algorithm,100,6739.0,8951.0,9727.0
genetic_algorithm,100,6743.0,8952.0,9733.0
genetic_algorithm,100,6752.0,8960.0,9749.0
genetic_algorithm,100,6760.0,8970.0,9752.0
genetic_algorithm,100,6764.0,8974.0,9754.0
genetic_algorithm,100,6764.0,8980.0,9760.0
genetic_algorithm,100,6773.0,8987.0,9762.0
genetic_algorithm,100,6790.0,8999.0,9777.0
genetic_algorithm,100,6801.0,9003.0,9798.0
genetic_algorithm,100,6801.0,9004.0,9799.0
genetic_algorithm,100,6801.0,9004.0,9799.0
genetic_algorithm,100,6801.0,9028.0,9810.0
genetic_algorithm,100,6837.0,9059.0,9820.0
genetic_algorithm,100,6837.0,9059.0,9822.0
genetic_algorithm,100,6841.0,9092.0,9873.0
genetic_algorithm,100,6857.0,9099.0,9875.0
genetic_algorithm,100,6857.0,9099.0,9875.0
genetic_algorithm,100,6857.0,9110.0,9886.0
genetic_algorithm,100,6857.0,9110.0,9902.0
genetic_algorithm,100,6862.0,9129.0,9908.0
genetic_algorithm,100,6862.0,9129.0,9908.0
genetic_algorithm,100,6890.0,9138.0,9924.0
genetic_algorithm,100,6890.0,9140.0,9925.0
genetic_algorithm,100,6890.0,9140.0,9925.0
genetic_algorithm,100,6898.0,9143.0,9926.0
genetic_algorithm,100,6911.0,9147.0,9927.0
genetic_algorithm,100,6911.0,9148.0,9928.0
genetic_algorithm,100,6911.0,9148.0,9928.0
genetic_algorithm,100,6911.0,9157.0,9931.0
genetic_algorithm,100,6911.0,9165.0,9933.0
genetic_algorithm,100,6921.0,9172.0,9936.0
genetic_algorithm,100,6921.0,9185.0,9953.0
genetic_algorithm,100,6934.0,9189.0,9954.0
genetic_algorithm,100,6934.0,9210.0,9976.0
genetic_algorithm,100,6941.0,9217.0,9985.0
genetic_algorithm,100,6941.0,9231.0,9990.0
genetic_algorithm,100,6957.0,9236.0,10004.0
genetic_algorithm,100,6957.0,9243.0,10006.0
genetic_algorithm,100,6957.0,9243.0,10008.0
genetic_algorithm,100,6966.0,9246.0,10009.0
genetic_algorithm,100,6967.0,9246.0,10009.0
genetic_algorithm,100,6968.0,9281.0,10021.0
genetic_algorithm,100,6968.0,9281.0,10026.0
genetic_algorithm,100,6968.0,9281.0,10026.0
genetic_algorithm,100,6968.0,9281.0,10026.0
genetic_algorithm,100,6968.0,9281.0,10034.0
genetic_algorithm,100,6972.0,9282.0,10035.0
genetic_algorithm,100,6978.0,9284.0,10035.0
genetic_algorithm,100,6978.0,9284.0,10035.0
genetic_algorithm,100,6982.0,9286.0,10048.0
genetic_algorithm,100,7006.0,9294.0,10057.0
genetic_algorithm,100,7006.0,9315.0,10074.0
genetic_algorithm,100,7006.0,9317.0,10075.0
genetic_algorithm,100,7006.0,9317.0,10075.0
genetic_algorithm,100,7019.0,9337.0,10083.0
genetic_algorithm,100,7019.0,9337.0,10084.0
genetic_algorithm,100,7020.0,9342.0,10086.0
genetic_algorithm,100,7020.0,9343.0,10091.0
genetic_algorithm,100,7020.0,9343.0,10091.0
genetic_algorithm,100,7027.0,9345.0,10092.0
genetic_algorithm,100,7032.0,9353.0,10097.0
genetic_algorithm,100,7032.0,9353.0,10103.0
genetic_algorithm,100,7032.0,9353.0,10103.0
genetic_algorithm,100,7032.0,9358.0,10106.0
genetic_algorithm,100,7032.0,9366.0,10125.0
genetic_algorithm,100,7033.0,9366.0,10125.0
genetic_algorithm,100,7041.0,9369.0,10137.0
genetic_algorithm,100,7049.0,9371.0,10138.0
genetic_algorithm,100,7049.0,9371.0,10138.0
genetic_algorithm,100,7058.0,9374.0,10139.0
genetic_algorithm,100,7069.0,9385.0,10143.0
genetic_algorithm,100,7069.0,9385.0,10143.0
genetic_algorithm,100,7088.0,9398.0,10147.0
genetic_algorithm,100,7088.0,9403.0,10158.0
genetic_algorithm,100,7088.0,9403.0,10158.0
genetic_algorithm,100,7088.0,9403.0,10163.0
genetic_algorithm,100,7088.0,9403.0,10165.0
genetic_algorithm,100,7088.0,9403.0,10178.0
genetic_algorithm,100,7088.0,9406.0,10212.0
genetic_algorithm,100,7088.0,9418.0,10216.0
genetic_algorithm,100,7104.0,9424.0,10218.0
genetic_algorithm,100,7104.0,9435.0,10222.0
genetic_algorithm,100,7107.0,9447.0,10226.0
genetic_algorithm,100,7107.0,9447.0,10230.0
genetic_algorithm,100,7107.0,9447.0,10230.0
genetic_algorithm,100,7107.0,9448.0,10231.0
genetic_algorithm,100,7107.0,9448.0,10231.0
genetic_algorithm,100,7109.0,9449.0,10232.0
genetic_algorithm,100,7111.0,9449.0,10232.0
genetic_algorithm,100,7111.0,9449.0,10233.0
genetic_algorithm,100,7112.0,9453.0,10234.0
genetic_algorithm,100,7123.0,9460.0,10236.0
genetic_algorithm,100,7123.0,9462.0,10237.0
genetic_algorithm,100,7123.0,9462.0,10246.0
genetic_algorithm,100,7127.0,9466.0,10247.0
genetic_algorithm,100,7128.0,9476.0,10253.0
genetic_algorithm,100,7130.0,9485.0,10256.0
genetic_algorithm,100,7131.0,9486.0,10257.0
genetic_algorithm,100,7131.0,9486.0,10280.0
genetic_algorithm,100,7131.0,9486.0,10280.0
genetic_algorithm,100,7147.0,9491.0,10282.0
genetic_algorithm,100,7151.0,9497.0,10284.0
genetic_algorithm,100,7162.0,9501.0,10285.0
genetic_algorithm,100,7162.0,9501.0,10297.0
genetic_algorithm,100,7162.0,9501.0,10297.0
genetic_algorithm,100,7162.0,9501.0,10297.0
genetic_algorithm,100,7162.0,9510.0,10300.0
genetic_algorithm,100,7162.0,9510.0,10300.0
genetic_algorithm,100,7163.0,9511.0,10301.0
genetic_algorithm,100,7163.0,9511.0,10301.0
genetic_algorithm,100,7166.0,9514.0,10302.0
genetic_algorithm,100,7166.0,9514.0,10302.0
genetic_algorithm,100,7174.0,9516.0,10302.0
genetic_algorithm,100,7179.0,9525.0,10305.0
genetic_algorithm,100,7179.0,9525.0,10305.0
genetic_algorithm,100,7184.0,9526.0,10306.0
genetic_algorithm,100,7184.0,9526.0,10306.0
genetic_algorithm,100,7184.0,9527.0,10306.0
genetic_algorithm,100,7184.0,9528.0,10313.0
genetic_algorithm,100,7193.0,9544.0,10319.0
genetic_algorithm,100,7193.0,9544.0,10319.0
