algorithm_name,size,settings,best_fitness,duration
mimic,10,keep_pct=0.3,73.9,13.37882
mimic,10,keep_pct=0.6,73.0,13.788145
mimic,10,keep_pct=0.9,73.7,14.7036267
mimic,20,keep_pct=0.3,268.3,37.08061
mimic,20,keep_pct=0.6,275.5,37.30407
mimic,20,keep_pct=0.9,277.3,41.9945967
mimic,30,keep_pct=0.3,625.2,79.98904
mimic,30,keep_pct=0.6,637.6,84.57403
mimic,30,keep_pct=0.9,639.8,87.0503
mimic,40,keep_pct=0.3,994.4,137.97978
mimic,40,keep_pct=0.6,1024.8,130.81973
mimic,40,keep_pct=0.9,1036.6,181.4364067
mimic,50,keep_pct=0.3,1644.9,168.0026
mimic,50,keep_pct=0.6,1683.0,176.50717
mimic,50,keep_pct=0.9,1684.7,189.4514567
mimic,60,keep_pct=0.3,2202.7,239.05527
mimic,60,keep_pct=0.6,2239.0,244.96613
mimic,60,keep_pct=0.9,2261.3,336.8189033
mimic,70,keep_pct=0.3,3007.3,324.99971
mimic,70,keep_pct=0.6,3007.3,327.059685
mimic,70,keep_pct=0.9,3014.8,389.4347533
mimic,80,keep_pct=0.3,3681.4,505.27334
mimic,80,keep_pct=0.6,3724.5,501.6663
mimic,80,keep_pct=0.9,3753.3,516.2867733
mimic,90,keep_pct=0.3,4549.4,688.43333
mimic,90,keep_pct=0.6,4544.5,680.71568
mimic,90,keep_pct=0.9,4691.0,688.52252
mimic,100,keep_pct=0.3,6202.3,841.71859
mimic,100,keep_pct=0.6,6202.3,825.9803
mimic,100,keep_pct=0.9,6268.8,860.5284733
